trade_date,signal_date,side,code,price,shares,notional,reason,entry_rank,momentum_rank,pnl_pct,holding_days,mae,mfe
2023-03-13,2023-03-10,sell,XES.US,77.87999725,0.003720312913,0.2897379594,weak,36,36,-0.1404922555,7,-0.1199647133,0.003421228965
2023-03-13,2023-03-10,buy,XLK.US,67.45999908,0.004294959433,0.2897379594,entry,2,2,,,,
2023-03-16,2023-03-15,sell,XAR.US,111.8300018,0.002819810882,0.3153394561,hysteresis,24,24,-0.06885925685,17,-0.07668608827,0.01540381763
2023-03-16,2023-03-15,buy,GDX.US,29.45000076,0.01070762132,0.3153394561,entry,1,4,,,,
2023-04-10,2023-04-06,sell,SMH.US,125.0500031,0.002294920898,0.2869798653,weak,34,33,0.01699742992,32,-0.05343200833,0.07177134551
2023-04-10,2023-04-06,buy,XLC.US,58.49000168,0.004906477296,0.2869798653,entry,2,2,,,,
2023-04-13,2023-04-12,sell,XLK.US,73.66000366,0.004294959433,0.3163667276,hysteresis,28,22,0.09190638396,31,-0.006225884593,0.1229617296
2023-04-13,2023-04-12,buy,COPX.US,40.90999985,0.007733237075,0.3163667276,entry,1,2,,,,
2023-04-21,2023-04-20,sell,GDX.US,33.74000168,0.01070762132,0.3612751614,weak,31,31,0.1456706555,36,-0.03225808959,0.225806368
2023-04-21,2023-04-20,sell,XLC.US,57.40000153,0.004906477296,0.2816318043,weak,30,30,-0.01863566629,11,-0.01863566629,0.01607109933
2023-04-21,2023-04-20,buy,XHB.US,69.69000244,0.004612619767,0.3214534828,entry,1,1,,,,
2023-04-21,2023-04-20,buy,IHI.US,56.52000046,0.005687428879,0.3214534828,entry,2,2,,,,
2023-04-25,2023-04-24,sell,COPX.US,39.00999832,0.007733237075,0.3016735653,hysteresis,28,26,-0.04644344984,12,-0.03006598746,0.03739913921
2023-04-25,2023-04-24,buy,XLP.US,76.86000061,0.003924974797,0.3016735653,entry,2,4,,,,
2023-05-09,2023-05-08,sell,IHI.US,55.63999939,0.005687428879,0.3164485393,hysteresis,29,28,-0.01556972861,18,-0.02193916611,0.01291577382
2023-05-09,2023-05-08,buy,GDX.US,35.27999878,0.008969630111,0.3164485393,entry,1,1,,,,
2023-05-11,2023-05-10,sell,XLP.US,76.56999969,0.003924974797,0.300535319,weak,32,29,-0.003773105819,16,-0.01040857462,0.01249022999
2023-05-11,2023-05-10,buy,XBI.US,87,0.003454428955,0.300535319,entry,1,1,,,,
2023-05-15,2023-05-12,sell,GDX.US,33.77999878,0.008969630111,0.3029940942,hysteresis,23,22,-0.04251700827,6,-0.05612243795,0.007086168046
2023-05-15,2023-05-12,buy,XLC.US,59.70999908,0.005074428049,0.3029940942,entry,1,1,,,,
2023-05-19,2023-05-18,sell,XBI.US,85.37999725,0.003454428955,0.2949391346,hysteresis,30,26,-0.01862072123,8,-0.043678196,0.01758619287
2023-05-19,2023-05-18,buy,SMH.US,133.7700043,0.002204822645,0.2949391346,entry,1,1,,,,
2023-05-24,2023-05-23,sell,XHB.US,69.84999847,0.004612619767,0.3221914837,weak,30,30,0.002295824754,33,-0.03199889911,0.04864398437
2023-05-24,2023-05-23,buy,FDN.US,148.6100006,0.002168033661,0.3221914837,entry,1,1,,,,
2023-06-08,2023-06-07,sell,XLC.US,62.61999893,0.005074428049,0.317760679,hysteresis,36,31,0.04873555338,24,-0.002260899742,0.07620169354
2023-06-08,2023-06-07,buy,XHB.US,75.05999756,0.004233422454,0.317760679,entry,1,1,,,,
2023-06-09,2023-06-08,sell,FDN.US,158.1600037,0.002168033661,0.3428962118,hysteresis,33,33,0.06426218298,16,0,0.0952156237
2023-06-09,2023-06-08,buy,PAVE.US,29.52000046,0.01161572515,0.3428962118,entry,2,2,,,,
2023-07-06,2023-07-05,sell,SMH.US,148.3399963,0.002204822645,0.3270633831,weak,32,32,0.1089182298,48,-0.04350756626,0.165732208
